CustomerID,Total_Spend,Frequency,Total_Items,Unique_Products,Avg_Basket_Value,LTV
12412,1142.88,3,824,42,380.96000000000004,0.0
12413,509.90000000000003,2,202,24,254.95000000000002,176.20000000000002
12414,442.41,3,297,15,147.47,0.0
12415,101737.88,14,66700,381,7266.9914285714285,22826.649999999998
12417,2483.52,7,1210,131,354.7885714285714,742.58
12418,668.58,1,407,34,668.58,0.0
12421,488.56,3,402,24,162.85333333333332,150.48
12422,683.5600000000001,3,367,38,227.85333333333335,0.0
12423,1440.67,7,1122,85,205.81,193.64000000000001
12424,1760.96,2,740,30,880.48,0.0
12425,777.2,1,496,36,777.2,0.0
12426,510.73,1,254,29,510.73,0.0
12427,249.5,1,76,9,249.5,450.3
12428,6076.92,7,3361,250,868.1314285714286,328.34000000000003
12429,2482.88,3,1026,61,827.6266666666667,905.52
12431,4732.07,11,2093,133,430.1881818181818,1582.88
12432,3316.6600000000003,2,1426,74,1658.3300000000002,1042.66
12433,6395.23,3,5431,151,2131.7433333333333,6980.64
12434,806.14,2,394,46,403.07,0.0
12435,7829.89,2,2055,31,3914.945,0.0
12436,429.01000000000005,1,209,15,429.01000000000005,0.0
12437,2710.0099999999998,12,1952,65,225.83416666666665,1737.4
12438,770.0699999999999,1,583,48,770.0699999999999,1696.78
12441,155.55,1,120,10,155.55,0.0
12444,2829.81,3,819,106,943.27,1255.65
12447,431.49,1,187,25,431.49,0.0
12449,2379.58,3,1006,83,793.1933333333333,1216.71
12450,197.88,2,128,7,98.94,0.0
12451,5307.82,2,4105,162,2653.91,3687.7
12453,707.09,1,473,43,707.09,0.0
12455,2339.86,5,2084,84,467.97200000000004,0.0
12456,1825.4,2,1062,76,912.7,755.64
12457,1846.88,5,802,52,369.37600000000003,196.35
12458,787.4,2,502,34,393.7,0.0
12461,626.88,1,282,34,626.88,0.0
12462,594.11,1,281,39,594.11,343.47999999999996
12463,877.79,3,571,50,292.59666666666664,322.99
12464,615.55,6,70,5,102.59166666666665,341.5
12465,410.94,1,292,25,410.94,271.25
12468,657.54,2,362,35,328.77,0.0
12471,10256.76,19,4626,114,539.8294736842105,7131.89
12472,4549.6,5,3067,179,909.9200000000001,1518.51
12473,1013.75,2,844,59,506.875,1571.98
12474,3984.06,13,2777,152,306.4661538461538,2710.03
12476,3149.27,7,1285,95,449.8957142857143,2749.15
12477,8834.03,3,2518,156,2944.6766666666667,4385.71
12480,1892.95,3,1082,96,630.9833333333333,992.68
12481,3671.2599999999998,8,2328,111,458.90749999999997,1332.56
12483,1290.06,6,782,37,215.01,620.9200000000001
12484,3210.65,3,1841,221,1070.2166666666667,728.67
12488,553.39,1,169,21,553.39,691.27
12489,298.93,1,103,14,298.93,0.0
12490,3210.59,6,1991,101,535.0983333333334,1649.3400000000001
12492,108.39000000000001,1,68,8,108.39000000000001,118.82000000000001
12493,415.74,2,206,19,207.87,0.0
12494,760.86,5,358,41,152.172,323.24
12497,953.1,1,1231,13,953.1,0.0
12500,1647.8400000000001,6,1263,19,274.64000000000004,2411.98
12501,2025.39,1,1775,148,2025.39,0.0
12502,2995.87,5,794,101,599.174,0.0
12506,73.5,1,23,23,73.5,0.0
12507,1052.81,3,885,18,350.93666666666667,0.0
12509,158.5,1,54,6,158.5,0.0
12510,814.5699999999999,2,347,28,407.28499999999997,0.0
12513,558.29,1,459,34,558.29,0.0
12514,1017.68,1,440,51,1017.68,0.0
12515,278.7,1,128,15,278.7,0.0
12516,1186.06,2,868,19,593.03,0.0
12517,1812.65,3,1037,180,604.2166666666667,488.95
12518,759.73,2,477,45,379.865,1081.16
12520,2346.2599999999998,5,1423,120,469.25199999999995,0.0
12521,545.68,1,306,37,545.68,0.0
12523,1052.13,8,618,55,131.51625,647.64
12524,2744.48,6,2269,91,457.41333333333336,1201.24
12526,484.3,1,316,28,484.3,688.36
12527,330.71000000000004,3,233,17,110.23666666666668,0.0
12528,1089.3700000000001,4,492,45,272.34250000000003,556.11
12530,1095.65,3,593,38,365.2166666666667,404.63
12534,981.18,1,645,62,981.18,0.0
12535,716.35,2,219,28,358.175,0.0
12539,4517.69,3,1621,125,1505.8966666666665,1050.66
12540,8983.99,13,5041,219,691.0761538461538,2596.25
12541,480.14,2,417,26,240.07,361.03999999999996
12545,832.39,2,517,41,416.195,0.0
12546,676.2,1,472,44,676.2,345.3
12547,151.79999999999998,2,132,6,75.89999999999999,0.0
12548,67.19999999999999,1,48,4,67.19999999999999,0.0
12550,824.83,1,564,56,824.83,0.0
12551,168.0,1,100,10,168.0,0.0
12553,2113.59,7,1334,80,301.9414285714286,1164.69
12556,308.75,1,163,60,308.75,290.81
12557,9000.960000000001,4,3464,15,2250.2400000000002,2990.0
12559,525.71,2,281,20,262.855,0.0
12560,1292.31,1,812,76,1292.31,625.7
12561,238.85,1,177,16,238.85,0.0
12562,1777.8700000000001,4,995,63,444.46750000000003,1607.87
12564,402.9,1,130,20,402.9,0.0
12565,145.92,1,80,9,145.92,0.0
12566,297.65,1,262,18,297.65,0.0
12567,7165.98,9,3495,270,796.2199999999999,1443.3
12569,1645.68,15,828,47,109.712,1507.01
12571,248.35,1,197,14,248.35,271.26
12573,160.54000000000002,1,84,26,160.54000000000002,0.0
12574,182.45000000000002,1,59,10,182.45000000000002,0.0
12576,936.55,4,665,54,234.1375,379.28
12577,195.89,1,134,67,195.89,426.76
12578,1412.66,1,741,69,1412.66,989.85
12579,386.42,1,282,28,386.42,0.0
12580,379.7,1,236,23,379.7,0.0
12582,351.36,2,296,20,175.68,0.0
12583,4395.01,10,3719,91,439.50100000000003,2310.37
12584,978.3900000000001,5,183,31,195.67800000000003,1275.76
12585,1824.1,2,1267,76,912.05,0.0
12589,113.5,1,82,9,113.5,461.18
12590,9341.26,1,4282,67,9341.26,0.0
12591,368.85,1,225,25,368.85,0.0
12592,401.6,2,288,10,200.8,0.0
12593,382.09999999999997,3,204,13,127.36666666666666,0.0
12594,2399.9,7,1435,45,342.84285714285716,808.32
12596,213.95,1,154,14,213.95,236.32
12597,1120.81,2,664,71,560.405,2074.41
12598,1748.1399999999999,4,1248,53,437.03499999999997,1058.94
12599,731.04,6,742,24,121.83999999999999,157.54
12600,1985.46,9,600,27,220.60666666666668,325.58000000000004
12601,487.06,5,240,20,97.412,0.0
12604,236.18,2,200,14,118.09,0.0
12609,964.85,3,639,56,321.6166666666667,0.0
12610,1104.25,2,620,67,552.125,643.29
12612,668.0400000000001,1,260,18,668.0400000000001,0.0
12613,1336.52,3,752,64,445.50666666666666,1755.86
12614,315.6,1,76,20,315.6,0.0
12615,1103.39,2,745,51,551.695,989.8
12616,641.3,2,280,24,320.65,0.0
12619,2154.7,6,2382,35,359.1166666666666,790.86
12620,939.3199999999999,2,740,56,469.65999999999997,364.09
12621,10180.64,17,5789,210,598.8611764705882,2231.03
12622,162.1,1,68,10,162.1,0.0
12623,269.1,1,189,17,269.1,0.0
12624,569.13,2,351,35,284.565,0.0
12625,2413.82,2,1597,72,1206.91,0.0
12626,4288.0,6,2310,169,714.6666666666666,1666.48
12627,2493.83,4,1562,111,623.4575,1588.7
12633,1732.75,3,1056,65,577.5833333333334,197.23000000000002
12635,1509.18,2,1162,95,754.59,0.0
12637,5496.9,7,2833,175,785.2714285714285,308.0
12639,366.1,1,198,21,366.1,0.0
12640,674.59,1,241,41,674.59,319.99
12641,145.9,1,71,9,145.9,0.0
12642,330.45,1,275,23,330.45,574.81
12643,3041.64,6,1788,10,506.94,0.0
12644,477.91,1,325,31,477.91,0.0
12645,1220.8600000000001,3,820,51,406.9533333333334,410.32
12647,2915.67,11,1272,76,265.0609090909091,231.15
12648,300.05,1,159,20,300.05,0.0
12649,569.51,3,583,27,189.83666666666667,0.0
12651,114.0,1,78,9,114.0,0.0
12652,793.98,1,498,47,793.98,0.0
12653,2209.85,2,919,37,1104.925,0.0
12654,301.75,3,149,18,100.58333333333333,228.23000000000002
12656,3105.42,4,1528,70,776.355,513.75
12657,546.44,1,255,27,546.44,880.74
12662,2437.66,7,1388,95,348.2371428571428,1106.1200000000001
12664,2037.0800000000002,4,572,9,509.27000000000004,2354.8
12665,45.0,1,36,2,45.0,0.0
12668,2438.4700000000003,3,1307,103,812.8233333333334,738.68
12669,1427.73,2,1104,96,713.865,0.0
12670,1490.47,3,753,39,496.8233333333333,1253.58
12672,225.89999999999998,1,78,10,225.89999999999998,0.0
12673,220.9,1,171,23,220.9,353.62
12674,1312.0,3,782,41,437.3333333333333,532.6
12676,838.0500000000001,4,490,20,209.51250000000002,253.34
12678,7968.5,8,5663,79,996.0625,8512.96
12679,874.7,3,473,42,291.56666666666666,76.32000000000001
12680,541.36,3,334,28,180.45333333333335,249.45
12681,9667.12,16,5843,223,604.195,2698.42
12682,7935.21,22,3825,164,360.69136363636363,3084.61
12683,5956.19,12,3943,163,496.34916666666663,1656.3799999999999
12684,1241.48,3,1266,35,413.82666666666665,832.15
12685,1667.02,3,1020,89,555.6733333333333,908.0600000000001
12686,71.14,1,106,6,71.14,0.0
12688,4873.8099999999995,1,3028,171,4873.8099999999995,0.0
12689,475.03,1,279,33,475.03,664.5799999999999
12690,335.01,1,103,15,335.01,0.0
12691,484.3,3,194,15,161.43333333333334,443.5
12693,711.91,4,247,34,177.9775,0.0
12694,385.5,1,320,19,385.5,376.17
12695,333.90000000000003,2,172,17,166.95000000000002,248.2
12697,573.91,2,355,26,286.955,183.68
12700,1951.05,2,1365,109,975.525,2574.94
12701,725.71,2,674,49,362.855,0.0
12703,265.55,1,163,20,265.55,0.0
12704,1066.47,4,596,50,266.6175,674.37
12705,4681.14,5,3042,190,936.2280000000001,1701.15
12707,603.42,1,256,33,603.42,0.0
12708,2165.14,8,1141,80,270.6425,277.77
12709,7755.62,12,3137,89,646.3016666666666,1644.9
12710,1023.02,3,844,74,341.00666666666666,0.0
12712,3499.08,11,920,53,318.0981818181818,429.05
12714,3065.7,4,2240,166,766.425,1229.16
12715,263.36,1,190,19,263.36,0.0
12716,623.9,1,500,44,623.9,339.59
12717,830.98,2,502,48,415.49,0.0
12718,202.25,1,201,18,202.25,0.0
12720,3414.32,18,3165,168,189.68444444444447,1701.41
12721,1825.81,5,1538,105,365.162,560.3199999999999
12722,979.63,4,565,49,244.9075,0.0
12724,733.1700000000001,3,365,40,244.39000000000001,190.24
12725,371.8,1,162,23,371.8,0.0
12726,1680.6399999999999,6,2372,48,280.1066666666666,730.46
12727,2869.7,6,1730,90,478.2833333333333,571.0
12728,728.33,4,413,37,182.0825,0.0
12729,417.01,1,231,25,417.01,0.0
12731,13558.15,9,6491,97,1506.461111111111,5193.76
12732,218.26000000000002,1,110,11,218.26000000000002,0.0
12733,383.95,1,137,22,383.95,0.0
12734,110.39999999999999,1,88,4,110.39999999999999,0.0
12735,689.5699999999999,2,363,37,344.78499999999997,0.0
12736,144.0,1,168,3,144.0,0.0
12738,137.35,1,147,10,137.35,0.0
12739,975.54,1,485,37,975.54,0.0
12743,540.13,2,315,114,270.065,0.0
12744,8121.13,3,4635,162,2707.0433333333335,999.26
12747,2769.4,8,862,34,346.175,1426.6100000000001
12748,17387.42,136,12418,1276,127.84867647058822,14263.36
12749,2755.23,3,1080,113,918.41,1335.65
12750,275.88,1,137,15,275.88,0.0
12752,4366.78,1,2262,53,4366.78,0.0
12753,16620.91,5,9211,114,3324.182,4808.48
12754,3010.74,3,6481,49,1003.5799999999999,0.0
12755,3811.95,2,1491,4,1905.975,0.0
12756,112.07999999999998,1,144,4,112.07999999999998,0.0
12757,1681.68,3,914,88,560.5600000000001,2495.07
12758,2791.59,2,2135,84,1395.795,0.0
12759,1007.52,2,625,59,503.76,403.92
12763,494.08,2,316,16,247.04,0.0
12764,1693.88,1,386,45,1693.88,0.0
12766,4532.1900000000005,5,2480,160,906.4380000000001,1925.44
12769,1143.6,1,356,32,1143.6,0.0
12770,1351.45,1,743,12,1351.45,0.0
12775,1074.68,4,734,35,268.67,206.36
12778,432.06,4,454,24,108.015,261.17
12779,2999.41,7,1385,68,428.4871428571428,981.95
12781,549.26,1,346,15,549.26,237.48
12782,1714.67,4,945,72,428.6675,224.25
12783,283.02,1,174,17,283.02,1012.85
12785,255.95,1,129,13,255.95,0.0
12787,314.65999999999997,2,208,14,157.32999999999998,104.0
12790,294.92,1,164,20,294.92,0.0
12791,177.60000000000002,1,96,1,177.60000000000002,0.0
12792,344.53999999999996,1,215,24,344.53999999999996,0.0
12793,461.48,2,292,20,230.74,0.0
12794,317.0,1,227,20,317.0,543.41
12797,226.03,1,117,12,226.03,0.0
12798,1607.04,1,2256,6,1607.04,5370.0
12802,397.58,1,312,24,397.58,0.0
12808,253.35,2,107,15,126.675,202.3
12809,405.31,1,217,24,405.31,0.0
12811,458.85,2,227,26,229.425,0.0
12814,85.92,1,48,1,85.92,0.0
12815,863.46,2,374,37,431.73,0.0
12816,452.20000000000005,2,125,26,226.10000000000002,0.0
12817,126.03999999999999,1,52,3,126.03999999999999,0.0
12818,1182.0800000000002,1,920,13,1182.0800000000002,0.0
12820,388.23,2,363,25,194.115,554.11
12821,92.72,1,70,6,92.72,0.0
12822,690.9,1,424,37,690.9,257.98
12823,1759.5,5,230,1,351.9,0.0
12826,1052.6200000000001,5,854,54,210.52400000000003,422.1
12828,415.51,3,157,23,138.50333333333333,603.2
12829,293.0,2,376,9,146.5,0.0
12830,6414.32,5,8696,13,1282.864,400.32000000000005
12831,215.05,1,135,9,215.05,0.0
12832,267.8,1,132,18,267.8,115.23
12833,417.38,1,156,24,417.38,0.0
12834,312.38,1,110,18,312.38,0.0
12836,2112.53,3,858,110,704.1766666666667,497.83000000000004
12837,134.1,1,24,12,134.1,0.0
12838,390.79,1,228,59,390.79,281.16
12839,3376.05,10,2276,75,337.605,2215.37
12840,2726.77,4,1511,67,681.6925,0.0
12841,3045.78,18,1975,178,169.21,945.8
12842,310.73,1,157,14,310.73,808.26
12843,1692.31,7,780,68,241.75857142857143,9.95
12844,174.88,1,77,27,174.88,151.08
12845,354.09,4,204,26,88.5225,0.0
12849,651.2099999999999,1,471,32,651.2099999999999,341.44
12851,131.81,1,106,43,131.81,0.0
12852,311.55,1,149,17,311.55,0.0
12853,1957.1000000000001,6,800,66,326.18333333333334,0.0
12854,1316.25,3,626,95,438.75,0.0
12855,38.1,1,30,3,38.1,0.0
12857,1106.4,2,343,37,553.2,0.0
12864,147.12,1,216,3,147.12,0.0
12865,981.38,1,550,58,981.38,586.85
12866,499.12,1,167,25,499.12,0.0
12867,3015.96,6,3366,206,502.66,993.38
12868,1607.0600000000002,6,928,72,267.84333333333336,0.0
12871,380.64,2,200,8,190.32,0.0
12872,599.97,2,319,58,299.985,0.0
12873,374.0,1,128,4,374.0,0.0
12875,343.2300000000001,2,2019,1,171.61500000000004,0.0
12876,666.43,1,647,33,666.43,1386.59
12877,1160.3700000000001,10,822,44,116.037,375.4
12878,854.99,2,547,38,427.495,0.0
12879,507.7,2,202,4,253.85,65.52000000000001
12881,298.0,1,21,7,298.0,0.0
12883,291.63,1,68,19,291.63,411.84000000000003
12884,309.05,1,43,7,309.05,0.0
12885,645.35,1,346,39,645.35,529.87
12886,775.0,1,416,47,775.0,603.4
12888,354.12,2,76,4,177.06,0.0
12891,331.0,3,950,2,110.33333333333333,0.0
12895,267.8,1,142,16,267.8,105.0
12897,216.5,2,110,3,108.25,0.0
12901,13159.27,20,14208,29,657.9635000000001,4495.27
12902,138.68,1,66,10,138.68,0.0
12904,244.69,1,165,32,244.69,251.37
12906,1936.5900000000001,2,1163,47,968.2950000000001,983.22
12908,750.0,2,1200,1,375.0,0.0
12909,1857.35,4,1036,74,464.3375,321.32
12910,2050.18,5,1286,43,410.03599999999994,1024.8600000000001
12913,866.39,3,345,12,288.7966666666667,1617.24
12915,363.65,2,93,19,181.825,0.0
12916,2944.95,4,1083,53,736.2375,0.0
12917,594.0,1,120,2,594.0,0.0
12919,441.65,3,203,12,147.21666666666667,893.54
12921,11395.98,27,6724,192,422.0733333333333,5191.110000000001
12922,405.38,1,370,28,405.38,0.0
12924,925.75,4,480,21,231.4375,0.0
12925,368.31,1,258,23,368.31,325.74
12928,1136.14,3,690,42,378.71333333333337,926.5600000000001
12929,117.85,1,37,8,117.85,0.0
12930,415.8,2,252,20,207.9,0.0
12931,32530.7,11,21384,27,2957.336363636364,9525.26
12933,357.49,2,378,48,178.745,250.04
12935,1535.34,4,1268,58,383.835,625.36
12936,798.46,1,434,33,798.46,265.44
12937,826.44,3,521,42,275.48,677.83
12939,9036.12,6,3700,21,1506.0200000000002,2545.68
12940,361.27,1,95,19,361.27,538.42
12942,675.6,3,198,68,225.20000000000002,0.0
12944,286.95,1,145,14,286.95,317.56
12945,462.95,1,165,23,462.95,0.0
12947,1603.99,6,1165,83,267.33166666666665,0.0
12948,1423.96,4,799,64,355.99,640.99
12949,3449.42,7,2048,144,492.7742857142857,717.8
12951,751.78,5,331,39,150.356,312.29
12952,731.54,1,408,41,731.54,656.25
12955,1843.36,6,1526,42,307.22666666666663,2913.8
12956,108.07,1,34,19,108.07,0.0
12957,2640.7200000000003,6,1713,146,440.12000000000006,1376.82
12962,170.54000000000002,1,78,11,170.54000000000002,95.85000000000001
12963,619.71,2,310,28,309.855,1236.92
12965,769.8100000000001,1,282,108,769.8100000000001,0.0
12967,1660.9,2,438,19,830.45,0.0
12968,135.95,1,73,5,135.95,0.0
12970,23.8,2,8,8,11.9,381.67
12971,8653.8,67,6692,82,129.16119402985075,2536.11
12974,144.8,1,24,8,144.8,0.0
12976,738.6,1,561,22,738.6,0.0
12977,39.239999999999995,1,12,9,39.239999999999995,0.0
12980,7374.900000000001,9,886,6,819.4333333333334,0.0
12981,187.18,1,134,11,187.18,185.04
12982,390.54,1,288,28,390.54,0.0
12987,558.7,2,219,27,279.35,0.0
12988,505.82,1,126,75,505.82,0.0
12989,5107.06,9,2394,14,567.4511111111111,1817.05
12990,263.9,2,130,5,131.95,145.6
12991,303.56,1,361,22,303.56,200.2
12993,372.4,3,204,23,124.13333333333333,42.36000000000001
12994,645.47,2,303,38,322.735,328.95
12995,211.32,1,108,3,211.32,0.0
12997,916.39,3,470,41,305.4633333333333,310.5
12999,455.88,3,342,25,151.96,0.0
13000,534.85,3,379,30,178.28333333333333,0.0
13001,8582.57,11,4864,154,780.2336363636364,1203.3999999999999
13002,120.94999999999999,1,73,7,120.94999999999999,0.0
13003,149.05,3,103,4,49.68333333333334,0.0
13004,4125.3,13,3701,214,317.33076923076925,1530.61
13005,513.7,2,172,21,256.85,0.0
13008,229.46999999999997,1,175,14,229.46999999999997,0.0
13011,50.550000000000004,1,13,3,50.550000000000004,0.0
13012,1190.8400000000001,5,602,52,238.16800000000003,456.0
13013,3686.09,9,1758,137,409.5655555555556,1124.8500000000001
13014,2421.63,6,716,58,403.605,1044.65
13015,1763.04,4,705,80,440.76,1576.6
13016,789.89,3,527,39,263.2966666666667,0.0
13018,5678.17,21,4260,261,270.38904761904763,1599.53
13021,1152.47,4,527,48,288.1175,1463.91
13023,291.40000000000003,1,156,19,291.40000000000003,308.5
13026,604.2,3,900,13,201.4,371.16
13027,6912.0,6,17280,6,1152.0,0.0
13029,773.1999999999999,2,92,6,386.59999999999997,474.29999999999995
13030,402.36,1,174,50,402.36,350.08
13032,496.3,1,175,44,496.3,513.88
13033,190.55,1,83,11,190.55,0.0
13034,165.86,1,116,11,165.86,476.90999999999997
13035,921.88,2,644,23,460.94,0.0
13037,881.07,3,431,44,293.69,0.0
13038,908.46,3,360,24,302.82,0.0
13043,516.42,1,254,13,516.42,0.0
13044,560.47,1,429,33,560.47,0.0
13045,305.28000000000003,1,221,18,305.28000000000003,0.0
13046,197.72,1,76,14,197.72,431.59
13047,2682.01,8,1164,84,335.25125,550.58
13048,1358.55,3,947,69,452.84999999999997,460.86
13049,153.78,1,78,7,153.78,502.90000000000003
13050,4505.99,13,2706,210,346.6146153846154,1327.12
13052,348.15000000000003,1,222,18,348.15000000000003,0.0
13055,1214.41,3,894,74,404.80333333333334,0.0
13058,47.550000000000004,1,9,3,47.550000000000004,223.85
13059,183.4,1,35,8,183.4,0.0
13060,307.53,1,123,15,307.53,0.0
13061,248.61,1,107,10,248.61,0.0
13062,346.98,1,343,11,346.98,0.0
13064,842.33,3,366,37,280.7766666666667,263.26
13065,205.86,1,74,14,205.86,0.0
13067,115.46000000000001,1,32,14,115.46000000000001,0.0
13068,165.0,1,100,1,165.0,179.0
13069,3870.02,20,5153,250,193.501,561.42
13070,228.8,1,110,9,228.8,0.0
13072,177.15,1,69,7,177.15,0.0
13075,919.61,1,485,22,919.61,0.0
13077,576.19,3,606,61,192.06333333333336,151.83
13078,8412.65,17,3118,89,494.8617647058823,4215.29
13079,172.4,3,32,2,57.46666666666667,47.7
13080,58.08,1,120,6,58.08,0.0
13081,18870.12,8,12665,424,2358.765,9467.26
13082,3613.63,9,4324,63,401.51444444444445,0.0
13083,192.39,1,143,14,192.39,111.36
13085,416.08000000000004,2,216,17,208.04000000000002,0.0
13089,45585.41,77,25053,557,592.0183116883118,13176.67
13090,4897.02,8,1132,55,612.1275,3998.8
13092,439.75,4,95,15,109.9375,38.08
13093,7832.47,8,3961,97,979.05875,0.0
13094,1774.68,11,1572,4,161.33454545454546,152.64000000000001
13097,5472.08,9,2176,212,608.0088888888889,531.14
13098,17349.76,19,9678,111,913.1452631578946,11532.68
13099,207.35999999999999,1,288,1,207.35999999999999,0.0
13101,101.19,1,113,8,101.19,0.0
13102,5292.84,20,3520,119,264.642,1131.25
13104,579.0,4,324,12,144.75,519.48
13106,76.5,1,18,1,76.5,0.0
13107,1407.42,3,1193,52,469.14000000000004,124.2
13108,350.06,1,298,10,350.06,0.0
13109,369.85,1,260,24,369.85,416.69
13110,1042.24,5,274,79,208.448,446.43
13113,10787.06,20,2616,93,539.353,1458.8999999999999
13115,878.55,1,621,55,878.55,1416.23
13116,501.14,1,291,30,501.14,0.0
13117,841.77,7,703,57,120.25285714285714,143.14
13118,799.7,3,274,40,266.56666666666666,398.11
13120,30.599999999999998,1,12,1,30.599999999999998,0.0
13121,283.73,1,252,50,283.73,0.0
13122,922.39,2,585,54,461.195,0.0
13124,3756.33,3,2119,185,1252.11,0.0
13126,1385.98,6,1548,80,230.99666666666667,713.66
13127,259.17,1,127,15,259.17,0.0
13130,64.0,1,32,2,64.0,0.0
13131,772.2,2,281,22,386.1,301.1
13132,77.3,1,20,3,77.3,0.0
13133,109.8,2,32,7,54.9,0.0
13134,1793.58,4,1059,94,448.395,0.0
13135,3096.0,1,4300,1,3096.0,0.0
13136,2148.08,4,1037,73,537.02,459.53
13137,1888.32,5,1169,231,377.664,1714.97
13138,687.89,4,349,29,171.9725,274.5
13139,3584.56,4,1799,111,896.14,1480.38
13140,422.47,3,185,40,140.82333333333335,0.0
13141,2388.75,5,1548,113,477.75,0.0
13144,110.95,1,21,3,110.95,0.0
13145,499.72,3,121,5,166.57333333333335,118.80000000000001
13147,118.80000000000001,1,24,1,118.80000000000001,594.0
13148,2766.01,10,1370,173,276.601,917.25
13149,1132.62,3,884,58,377.53999999999996,543.4399999999999
13151,1257.8700000000001,1,363,73,1257.8700000000001,0.0
13155,882.5,3,445,62,294.1666666666667,89.25999999999999
13157,873.1999999999999,3,788,32,291.06666666666666,868.02
13158,1201.06,4,784,59,300.265,0.0
13159,843.09,2,627,75,421.545,586.26
13161,112.75,1,29,8,112.75,0.0
13162,1688.29,4,1713,74,422.0725,0.0
13165,354.64,1,496,13,354.64,666.84
13166,417.2,1,216,39,417.2,0.0
13167,417.55,2,447,33,208.775,361.78000000000003
13168,953.0600000000001,3,545,94,317.68666666666667,346.53000000000003
13169,505.2,1,96,6,505.2,207.68
13171,140.35,1,53,23,140.35,328.06
13173,165.94,1,114,23,165.94,187.71
13174,2030.06,2,926,177,1015.03,708.76
13178,5156.7300000000005,9,3138,82,572.97,568.74
13183,3085.5800000000004,7,1804,50,440.7971428571429,872.2
13184,1471.1,9,1536,121,163.45555555555555,196.85
13185,71.4,1,12,1,71.4,0.0
13186,1301.94,2,547,57,650.97,273.95
13187,236.02,1,95,37,236.02,0.0
13189,127.0,1,526,18,127.0,133.68
13192,911.94,2,595,57,455.97,0.0
13194,60.7,1,26,3,60.7,0.0
13196,1586.95,2,1059,86,793.475,210.83
13198,3009.18,5,2369,182,601.836,392.06
13199,4725.16,21,3651,28,225.00761904761904,5076.96
13200,627.01,2,410,34,313.505,243.08
13203,309.86,2,274,20,154.93,559.6
13207,197.52000000000004,1,72,5,197.52000000000004,52.739999999999995
13208,828.8199999999999,4,572,97,207.20499999999998,364.35
13209,4156.08,5,3255,200,831.216,1735.53
13210,353.48,1,316,22,353.48,0.0
13211,784.64,2,579,43,392.32,310.78
13213,963.88,4,478,44,240.97,556.7
13216,333.74,1,297,5,333.74,0.0
13217,533.98,3,262,3,177.99333333333334,0.0
13218,62.63999999999999,1,88,5,62.63999999999999,0.0
13220,819.2900000000001,4,196,18,204.82250000000002,0.0
13221,844.86,2,243,61,422.43,0.0
13223,163.20000000000002,2,88,5,81.60000000000001,0.0
13224,1212.26,1,665,42,1212.26,940.69
13225,4299.56,5,2164,15,859.912,2164.28
13226,108.21000000000001,1,80,16,108.21000000000001,0.0
13227,257.7,1,99,9,257.7,0.0
13228,358.0,1,200,2,358.0,0.0
13229,160.95,1,63,10,160.95,0.0
13230,2195.23,12,1332,302,182.93583333333333,560.4
13232,1018.45,5,647,128,203.69,309.3
13233,605.12,2,1004,43,302.56,0.0
13235,1031.07,1,441,53,1031.07,0.0
13236,439.23,1,168,21,439.23,305.62
13238,318.85,2,137,14,159.425,381.88
13239,329.56,1,327,21,329.56,0.0
